r,delay,repetition,avgtime,congested,f
70,0,0,1.3268068475629633,False,1
70,0,1,1.3271850561312002,False,1
70,0,2,1.3267205911215736,False,1
70,0,3,1.328156420449443,False,1
70,0,4,1.331402280613938,False,1
70,0,5,1.3295147250811796,False,1
70,0,6,1.3282468201245476,False,1
70,0,7,1.3260141409919592,False,1
70,0,8,1.3277758499628207,False,1
70,0,9,1.332092782974417,False,1
70,0,10,1.3183771530782153,False,1
70,0,11,1.3262921511324155,False,1
70,0,12,1.323490727020401,False,1
70,0,13,1.329449075957202,False,1
70,0,14,1.3304773360795443,False,1
70,0,15,1.3345647618666878,False,1
70,0,16,1.3298949210225264,False,1
70,0,17,1.3275724574202081,False,1
70,0,18,1.327469546045394,False,1
70,0,19,1.3245214096793758,False,1
70,0,20,1.3299328255326226,False,1
70,0,21,1.3309599113183987,False,1
70,0,22,1.3300137090056448,False,1
70,0,23,1.3301359935768813,False,1
70,0,24,1.3328232908470954,False,1
70,0,25,1.330707860497817,False,1
70,0,26,1.3241734000309084,False,1
70,0,27,1.3295408317122543,False,1
70,0,28,1.3291364289501686,False,1
70,0,29,1.328485452272901,False,1
70,0,30,1.3365807791084159,False,1
70,0,31,1.3305678508781245,False,1
70,0,32,1.3274785815048502,False,1
70,0,33,1.3223339790827218,False,1
70,0,34,1.3272247104244526,False,1
70,0,35,1.3245726866193872,False,1
70,0,36,1.3297641855400766,False,1
70,0,37,1.32892814050429,False,1
70,0,38,1.3280341354439682,False,1
70,0,39,1.3294447775582843,False,1
70,0,40,1.3240044889749265,False,1
70,0,41,1.3252637995432412,False,1
70,0,42,1.328244451853129,False,1
70,0,43,1.3286687128242294,False,1
70,0,44,1.332436292053003,False,1
70,0,45,1.3335860690110575,False,1
70,0,46,1.3313845364096848,False,1
70,0,47,1.3282811315178555,False,1
70,0,48,1.3320637431903046,False,1
70,0,49,1.329101195436331,False,1
70,0,50,1.3278679993408258,False,1
70,0,51,1.325661410001824,False,1
70,0,52,1.3264715470331339,False,1
70,0,53,1.3273985769013503,False,1
70,0,54,1.3291243438559501,False,1
70,0,55,1.3265497510334363,False,1
70,0,56,1.32929161989581,False,1
70,0,57,1.3284677137102676,False,1
70,0,58,1.3316654233333571,False,1
70,0,59,1.3264945910232195,False,1
70,0,60,1.3278137352806487,False,1
70,0,61,1.3204208879064048,False,1
70,0,62,1.3323962993619352,False,1
70,0,63,1.3267534461392654,False,1
70,0,64,1.3281908115664998,False,1
70,0,65,1.330124802679825,False,1
70,0,66,1.328896535264458,False,1
70,0,67,1.3322705835150006,False,1
70,0,68,1.3204606883348273,False,1
70,0,69,1.330065242587117,False,1
70,0,70,1.3270497139966855,False,1
70,0,71,1.3268721552316596,False,1
70,0,72,1.3271584257603528,False,1
70,0,73,1.3253256082749931,False,1
70,0,74,1.3251426422510082,False,1
70,0,75,1.3256683537555423,False,1
70,0,76,1.3325375990338533,False,1
70,0,77,1.323327350579238,False,1
70,0,78,1.3262857827721606,False,1
70,0,79,1.3291442030336995,False,1
70,0,80,1.3180583865445723,False,1
70,0,81,1.335506276130248,False,1
70,0,82,1.3275028290187554,False,1
70,0,83,1.3335407124510075,False,1
70,0,84,1.327686972130633,False,1
70,0,85,1.3308314649056736,False,1
70,0,86,1.332587437553108,False,1
70,0,87,1.331675440203202,False,1
70,0,88,1.3344871199649082,False,1
70,0,89,1.3337565617266678,False,1
70,0,90,1.3268012974905459,False,1
70,0,91,1.3296911324753484,False,1
70,0,92,1.328812387664701,False,1
70,0,93,1.3209587900334179,False,1
70,0,94,1.328544767350601,False,1
70,0,95,1.3357539272404757,False,1
70,0,96,1.325687857085111,False,1
70,0,97,1.3260671696779784,False,1
70,0,98,1.3225888742787382,False,1
70,0,99,1.3297092422389876,False,1
70,1,0,1.326144238007804,False,1
70,1,1,1.3282803369429652,False,1
70,1,2,1.3267647353194831,False,1
70,1,3,1.3281641340154597,False,1
70,1,4,1.3290961656492049,False,1
70,1,5,1.3287141613503186,False,1
70,1,6,1.3234541556605035,False,1
70,1,7,1.3243386848898047,False,1
70,1,8,1.3321643304551576,False,1
70,1,9,1.3294552098437373,False,1
70,1,10,1.3326901134950955,False,1
70,1,11,1.3317022097538387,False,1
70,1,12,1.3185198428928797,False,1
70,1,13,1.3303166378890663,False,1
70,1,14,1.3311328491327477,False,1
70,1,15,1.3309243058619018,False,1
70,1,16,1.3291517735617557,False,1
70,1,17,1.3293955409350222,False,1
70,1,18,1.3297070982595391,False,1
70,1,19,1.331902658362279,False,1
70,1,20,1.325856280319157,False,1
70,1,21,1.329649440831452,False,1
70,1,22,1.328215897143153,False,1
70,1,23,1.3336761882696075,False,1
70,1,24,1.3234490825298382,False,1
70,1,25,1.3314131354887802,False,1
70,1,26,1.325208082984402,False,1
70,1,27,1.3302351154556693,False,1
70,1,28,1.327721004299326,False,1
70,1,29,1.3288939350478204,False,1
70,1,30,1.3237838428669393,False,1
70,1,31,1.3273789606807382,False,1
70,1,32,1.3214573494239856,False,1
70,1,33,1.327423920858418,False,1
70,1,34,1.3294852865664046,False,1
70,1,35,1.3273108675602434,False,1
70,1,36,1.3311312655899907,False,1
70,1,37,1.3273852681188198,False,1
70,1,38,1.32890223986579,False,1
70,1,39,1.3269519911738559,False,1
70,1,40,1.3303048904702783,False,1
70,1,41,1.3301531973776193,False,1
70,1,42,1.3310612151334449,False,1
70,1,43,1.3239258664704376,False,1
70,1,44,1.327804319706692,False,1
