,r,delay,repetition,avgtime,congested,congested_ratio,f,informed
0,70,0,0,1.3204432688082957,False,False,1,1.0
1,70,0,1,1.3248099241654787,False,False,1,1.0
2,70,0,2,1.3262979929583991,False,False,1,1.0
3,70,0,3,1.3194383909906249,False,False,1,1.0
4,70,0,4,1.325854408372965,False,False,1,1.0
5,70,0,5,1.3271185412330375,False,False,1,1.0
6,70,0,6,1.3234127731103118,False,False,1,1.0
7,70,0,7,1.3218320771833798,False,False,1,1.0
8,70,0,8,1.3205132732667255,False,False,1,1.0
9,70,0,9,1.3175105670512997,False,False,1,1.0
10,70,0,10,1.320344594109609,False,False,1,1.0
11,70,0,11,1.323542655479294,False,False,1,1.0
12,70,0,12,1.322604889628478,False,False,1,1.0
13,70,0,13,1.3211073234723856,False,False,1,1.0
14,70,0,14,1.3196414965744196,False,False,1,1.0
15,70,0,15,1.323483978860461,False,False,1,1.0
16,70,0,16,1.327623364874433,False,False,1,1.0
17,70,0,17,1.321836424380136,False,False,1,1.0
18,70,0,18,1.329076133235639,False,False,1,1.0
19,70,0,19,1.31964765412928,False,False,1,1.0
20,70,0,20,1.3169267979950294,False,False,1,1.0
21,70,0,21,1.316520709376608,False,False,1,1.0
22,70,0,22,1.322435843504374,False,False,1,1.0
23,70,0,23,1.3213132395020055,False,False,1,1.0
24,70,0,24,1.3204397481535142,False,False,1,1.0
25,70,0,25,1.322711288114676,False,False,1,1.0
26,70,0,26,1.32336908416196,False,False,1,1.0
27,70,0,27,1.319993471817705,False,False,1,1.0
28,70,0,28,1.3197849601560223,False,False,1,1.0
29,70,0,29,1.318122181274907,False,False,1,1.0
30,70,0,30,1.3237128660995534,False,False,1,1.0
31,70,0,31,1.3147081311508164,False,False,1,1.0
32,70,0,32,1.3273118392156302,False,False,1,1.0
33,70,0,33,1.3189769719529336,False,False,1,1.0
34,70,0,34,1.3225188645346924,False,False,1,1.0
35,70,0,35,1.3182159817273962,False,False,1,1.0
36,70,0,36,1.3194278851779442,False,False,1,1.0
37,70,0,37,1.3227996301671645,False,False,1,1.0
38,70,0,38,1.3228416039316235,False,False,1,1.0
39,70,0,39,1.322639185041907,False,False,1,1.0
40,70,0,40,1.3200090957901205,False,False,1,1.0
41,70,0,41,1.3191935485545885,False,False,1,1.0
42,70,0,42,1.325507758899603,False,False,1,1.0
43,70,0,43,1.3201103491239978,False,False,1,1.0
44,70,0,44,1.3217635083566233,False,False,1,1.0
45,70,0,45,1.3209313478249318,False,False,1,1.0
46,70,0,46,1.3289245097961522,False,False,1,1.0
47,70,0,47,1.323801179375901,False,False,1,1.0
48,70,0,48,1.320275757802256,False,False,1,1.0
49,70,0,49,1.3164814177835802,False,False,1,1.0
50,70,0,50,1.3232460779229485,False,False,1,1.0
51,70,0,51,1.325868709435594,False,False,1,1.0
