r,delay,repetition,avgtime,congested,f,informed
230.0,0.0,0.0,1.7417477307645504,0.0,1.0,1.0
230.0,0.0,1.0,1.7405091264078993,0.0,1.0,1.0
230.0,0.0,2.0,1.7145749670800157,0.0,1.0,1.0
230.0,0.0,3.0,1.7476107209937157,0.0,1.0,1.0
230.0,0.0,4.0,1.7462265739176746,0.0,1.0,1.0
230.0,0.0,5.0,1.7483817018750347,0.0,1.0,1.0
230.0,0.0,6.0,1.7476444092700738,0.0,1.0,1.0
230.0,0.0,7.0,1.73231953673319,0.0,1.0,1.0
230.0,0.0,8.0,1.731464897596139,0.0,1.0,1.0
230.0,0.0,9.0,1.7355472765443478,0.0,1.0,1.0
230.0,0.0,10.0,1.746356174950396,0.0,1.0,1.0
230.0,0.0,11.0,1.7186630768520343,0.0,1.0,1.0
230.0,0.0,12.0,1.7328994485994242,0.0,1.0,1.0
230.0,0.0,13.0,1.7409050958622931,0.0,1.0,1.0
230.0,0.0,14.0,1.7172853496237144,0.0,1.0,1.0
230.0,0.0,15.0,1.7252451044976815,0.0,1.0,1.0
230.0,0.0,16.0,1.7209365279591833,0.0,1.0,1.0
230.0,0.0,17.0,1.737746767983301,0.0,1.0,1.0
230.0,0.0,18.0,1.7322151491640947,0.0,1.0,1.0
230.0,0.0,19.0,1.712552201619933,0.0,1.0,1.0
230.0,0.0,20.0,1.7458331686956607,0.0,1.0,1.0
230.0,0.0,21.0,1.731297441375712,0.0,1.0,1.0
230.0,0.0,22.0,1.7231398199289785,0.0,1.0,1.0
230.0,0.0,23.0,1.7424972242544707,0.0,1.0,1.0
230.0,0.0,24.0,1.718642123272138,0.0,1.0,1.0
230.0,0.0,25.0,1.7353878234066686,0.0,1.0,1.0
230.0,0.0,26.0,1.761392574619338,0.0,1.0,1.0
230.0,0.0,27.0,1.7433349298179213,0.0,1.0,1.0
230.0,0.0,28.0,1.7467770829455425,0.0,1.0,1.0
230.0,0.0,29.0,1.750032957291334,0.0,1.0,1.0
230.0,0.0,30.0,1.73674786927018,0.0,1.0,1.0
230.0,0.0,31.0,1.7527071893093626,0.0,1.0,1.0
230.0,0.0,32.0,1.7258673344472824,0.0,1.0,1.0
230.0,0.0,33.0,1.7381495131195555,0.0,1.0,1.0
230.0,0.0,34.0,1.7638675777309998,0.0,1.0,1.0
230.0,0.0,35.0,1.7221742638690847,0.0,1.0,1.0
230.0,0.0,36.0,1.7299893375638007,0.0,1.0,1.0
230.0,0.0,37.0,1.7613697713566994,0.0,1.0,1.0
230.0,0.0,38.0,1.7322692148083731,0.0,1.0,1.0
230.0,0.0,39.0,1.7338873566518014,0.0,1.0,1.0
230.0,0.0,40.0,1.7431615113020427,0.0,1.0,1.0
