r,delay,repetition,avgtime,congested,f,informed
255.0,0.0,0.0,608.4413183517318,1.0,1.0,1.0
255.0,0.0,1.0,19.31413826804163,1.0,1.0,1.0
255.0,0.0,2.0,24.870121051515344,1.0,1.0,1.0
255.0,0.0,3.0,69.71997690701623,1.0,1.0,1.0
255.0,0.0,4.0,16.772460045770167,1.0,1.0,1.0
255.0,0.0,5.0,851.9804478858956,1.0,1.0,1.0
255.0,0.0,6.0,28.485272918948695,1.0,1.0,1.0
255.0,0.0,7.0,106.70018715976255,1.0,1.0,1.0
255.0,0.0,8.0,25.05602661943126,1.0,1.0,1.0
255.0,0.0,9.0,29.380556067048325,1.0,1.0,1.0
255.0,1.0,0.0,54.390618980935024,1.0,1.0,1.0
255.0,1.0,1.0,144.25604723393144,1.0,1.0,1.0
255.0,1.0,2.0,10.961850737648458,1.0,1.0,1.0
255.0,1.0,3.0,15.438937539520213,1.0,1.0,1.0
255.0,1.0,4.0,472.97299390407665,1.0,1.0,1.0
255.0,1.0,5.0,93.71296991298017,1.0,1.0,1.0
255.0,1.0,6.0,30.09037738063964,1.0,1.0,1.0
255.0,1.0,7.0,85.53070678855936,1.0,1.0,1.0
255.0,1.0,8.0,124.25932214061126,1.0,1.0,1.0
255.0,1.0,9.0,16.969585470956257,1.0,1.0,1.0
255.0,2.0,0.0,18.800582895118353,1.0,1.0,1.0
255.0,2.0,1.0,66.65927634378991,1.0,1.0,1.0
255.0,2.0,2.0,41.19622226818743,1.0,1.0,1.0
255.0,2.0,3.0,62.5441966805878,1.0,1.0,1.0
255.0,2.0,4.0,53.19888574040694,1.0,1.0,1.0
255.0,2.0,5.0,118.8656159980977,1.0,1.0,1.0
255.0,2.0,6.0,66.37567565990705,1.0,1.0,1.0
255.0,2.0,7.0,23.175168345706982,1.0,1.0,1.0
255.0,2.0,8.0,24.530102742159976,1.0,1.0,1.0
255.0,2.0,9.0,20.4996937100525,1.0,1.0,1.0
255.0,3.0,0.0,33.26565935290668,1.0,1.0,1.0
255.0,3.0,1.0,53.564452503820604,1.0,1.0,1.0
255.0,3.0,2.0,26.299940986680056,1.0,1.0,1.0
255.0,3.0,3.0,121.58778201834079,1.0,1.0,1.0
255.0,3.0,4.0,74.3836601016359,1.0,1.0,1.0
255.0,3.0,5.0,14.4248616168402,1.0,1.0,1.0
255.0,3.0,6.0,105.03063760576875,1.0,1.0,1.0
255.0,3.0,7.0,63.77925893788355,1.0,1.0,1.0
255.0,3.0,8.0,17.276673804901982,1.0,1.0,1.0
255.0,3.0,9.0,11.997075104036526,1.0,1.0,1.0
255.0,4.0,0.0,313.8920703106149,1.0,1.0,1.0
255.0,4.0,1.0,86.66661772118307,1.0,1.0,1.0
255.0,4.0,2.0,28.187858975948103,1.0,1.0,1.0
255.0,4.0,3.0,29.916284740468534,1.0,1.0,1.0
255.0,4.0,4.0,78.69439664094183,1.0,1.0,1.0
255.0,4.0,5.0,18.668857999184866,1.0,1.0,1.0
255.0,4.0,6.0,46.04075877915842,1.0,1.0,1.0
255.0,4.0,7.0,9.138718104002754,1.0,1.0,1.0
255.0,4.0,8.0,160.9693286044781,1.0,1.0,1.0
255.0,4.0,9.0,13.720223228530388,1.0,1.0,1.0
255.0,5.0,0.0,14.453126486301496,1.0,1.0,1.0
255.0,5.0,1.0,18.5478809774362,1.0,1.0,1.0
255.0,5.0,2.0,20.192525982833658,1.0,1.0,1.0
255.0,5.0,3.0,18.278234349389137,1.0,1.0,1.0
255.0,5.0,4.0,142.90437910186841,1.0,1.0,1.0
255.0,5.0,5.0,16.937800600365,1.0,1.0,1.0
255.0,5.0,6.0,15.981992755087887,1.0,1.0,1.0
255.0,5.0,7.0,16.19524516522009,1.0,1.0,1.0
255.0,5.0,8.0,58.81346585839166,1.0,1.0,1.0
255.0,5.0,9.0,16.54810263302327,1.0,1.0,1.0
255.0,6.0,0.0,74.36471854576345,1.0,1.0,1.0
255.0,6.0,1.0,21.181703419612678,1.0,1.0,1.0
255.0,6.0,2.0,54.66497452776452,1.0,1.0,1.0
255.0,6.0,3.0,28.790996626176792,1.0,1.0,1.0
255.0,6.0,4.0,22.94059957800005,1.0,1.0,1.0
255.0,6.0,5.0,225.89108871424455,1.0,1.0,1.0
255.0,6.0,6.0,90.98131836865899,1.0,1.0,1.0
255.0,6.0,7.0,101.26349537077762,1.0,1.0,1.0
255.0,6.0,8.0,17.302173939837445,1.0,1.0,1.0
255.0,6.0,9.0,47.4237893718266,1.0,1.0,1.0
255.0,7.0,0.0,15.860457209562865,1.0,1.0,1.0
255.0,7.0,1.0,1032.8975421984292,1.0,1.0,1.0
255.0,7.0,2.0,9.891730890411452,1.0,1.0,1.0
255.0,7.0,3.0,14.735781820226297,1.0,1.0,1.0
255.0,7.0,4.0,58.023263613678225,1.0,1.0,1.0
255.0,7.0,5.0,66.59741074445199,1.0,1.0,1.0
255.0,7.0,6.0,17.44660350745969,1.0,1.0,1.0
255.0,7.0,7.0,29.65628137725752,1.0,1.0,1.0
255.0,7.0,8.0,147.4603478206518,1.0,1.0,1.0
255.0,7.0,9.0,146.1010262185451,1.0,1.0,1.0
255.0,8.0,0.0,29.406511589968858,1.0,1.0,1.0
255.0,8.0,1.0,14.700662499000272,1.0,1.0,1.0
255.0,8.0,2.0,31.8196208810687,1.0,1.0,1.0
255.0,8.0,3.0,62.39941831320411,1.0,1.0,1.0
255.0,8.0,4.0,132.42837202313763,1.0,1.0,1.0
255.0,8.0,5.0,17.224130002671927,1.0,1.0,1.0
255.0,8.0,6.0,17.39867523166667,1.0,1.0,1.0
255.0,8.0,7.0,480.6457463592459,1.0,1.0,1.0
255.0,8.0,8.0,163.68124534877273,1.0,1.0,1.0
255.0,8.0,9.0,15.550071284790453,1.0,1.0,1.0
255.0,9.0,0.0,22.510847583090154,1.0,1.0,1.0
255.0,9.0,1.0,35.545584107662364,1.0,1.0,1.0
255.0,9.0,2.0,13.413118345666705,1.0,1.0,1.0
255.0,9.0,3.0,23.35363869227909,1.0,1.0,1.0
255.0,9.0,4.0,11.827316724239454,1.0,1.0,1.0
255.0,9.0,5.0,35.6391126501286,1.0,1.0,1.0
255.0,9.0,6.0,11.583647765690754,1.0,1.0,1.0
255.0,9.0,7.0,42.05938926924575,1.0,1.0,1.0
255.0,9.0,8.0,37.160197194525516,1.0,1.0,1.0
255.0,9.0,9.0,13.684966242526894,1.0,1.0,1.0
255.0,10.0,0.0,30.54914689009306,1.0,1.0,1.0
255.0,10.0,1.0,18.919828624869826,1.0,1.0,1.0
255.0,10.0,2.0,81.19276342993504,1.0,1.0,1.0
255.0,10.0,3.0,10.309130687354559,1.0,1.0,1.0
255.0,10.0,4.0,34.2487095172905,1.0,1.0,1.0
255.0,10.0,5.0,33.28568403730404,1.0,1.0,1.0
255.0,10.0,6.0,13.324069912454652,1.0,1.0,1.0
