r,delay,repetition,avgtime,congested,f,informed
180.0,0.0,0.0,1.4065898719414691,0.0,1.0,1.0
180.0,0.0,1.0,1.4071650732327998,0.0,1.0,1.0
180.0,0.0,2.0,1.4053398363047294,0.0,1.0,1.0
180.0,0.0,3.0,1.404208182289123,0.0,1.0,1.0
180.0,0.0,4.0,1.4092926040637677,0.0,1.0,1.0
180.0,0.0,5.0,1.4006055959455395,0.0,1.0,1.0
180.0,0.0,6.0,1.4027015272659458,0.0,1.0,1.0
180.0,0.0,7.0,1.3998227885408734,0.0,1.0,1.0
180.0,0.0,8.0,1.4076951245955729,0.0,1.0,1.0
180.0,0.0,9.0,1.4047546123313457,0.0,1.0,1.0
180.0,1.0,0.0,1.410638782314432,0.0,1.0,1.0
180.0,1.0,1.0,1.41113789195787,0.0,1.0,1.0
180.0,1.0,2.0,1.411044364411329,0.0,1.0,1.0
180.0,1.0,3.0,1.414114899060389,0.0,1.0,1.0
180.0,1.0,4.0,1.4114322014866443,0.0,1.0,1.0
180.0,1.0,5.0,1.4127494911901304,0.0,1.0,1.0
180.0,1.0,6.0,1.4125959186515764,0.0,1.0,1.0
180.0,1.0,7.0,1.4103416766165195,0.0,1.0,1.0
180.0,1.0,8.0,1.4087776899031923,0.0,1.0,1.0
180.0,1.0,9.0,1.4119986651066418,0.0,1.0,1.0
180.0,2.0,0.0,1.425657303290504,0.0,1.0,1.0
180.0,2.0,1.0,1.4133164497808313,0.0,1.0,1.0
180.0,2.0,2.0,1.4206762529638521,0.0,1.0,1.0
180.0,2.0,3.0,1.4163852351265882,0.0,1.0,1.0
180.0,2.0,4.0,1.4213696394251945,0.0,1.0,1.0
180.0,2.0,5.0,1.4149283720125911,0.0,1.0,1.0
180.0,2.0,6.0,1.4230694270457698,0.0,1.0,1.0
180.0,2.0,7.0,1.4179718067731935,0.0,1.0,1.0
180.0,2.0,8.0,1.4164594309793421,0.0,1.0,1.0
180.0,2.0,9.0,1.4202610153596777,0.0,1.0,1.0
180.0,3.0,0.0,1.4296588317516181,0.0,1.0,1.0
180.0,3.0,1.0,1.4301125326049535,0.0,1.0,1.0
180.0,3.0,2.0,1.4253016658033306,0.0,1.0,1.0
180.0,3.0,3.0,1.4231145012206285,0.0,1.0,1.0
180.0,3.0,4.0,1.4252147417561412,0.0,1.0,1.0
180.0,3.0,5.0,1.4234212754459101,0.0,1.0,1.0
180.0,3.0,6.0,1.4228472111807309,0.0,1.0,1.0
180.0,3.0,7.0,1.419741299134484,0.0,1.0,1.0
180.0,3.0,8.0,1.4185609452794454,0.0,1.0,1.0
180.0,3.0,9.0,1.4315469322639964,0.0,1.0,1.0
180.0,4.0,0.0,1.4289974621991697,0.0,1.0,1.0
180.0,4.0,1.0,1.428291898601988,0.0,1.0,1.0
180.0,4.0,2.0,1.4248775114771943,0.0,1.0,1.0
